,question_message_text,ans_message_text
128,She is here only,Shayad unhone grp leave kar diya
129,Hi,Hello adi
130,Sugar daddy de,Abang gk ada akhlak-_-
131,Tereko mana kia tu bhi dundh le mil jyegi,Ham to chutye baithe h tu hi pele
132,Ghr bnake city m jake buliding purchase Krna,Arree ye level kese inc. Hota hae
133,will be most interested soon,Least interested
134,Kon si joining🙄,😂😂😂 kitna explain krti ho tm! Joining kab se h?
135,😂😂roz ka hai mera🤣,Ohhh great or 6 month lagege 68 tk aahaoge regular khelte honge toh
136,Same ? Or other one ? Which Name  ?,can you make me one lik this with my pic plz
137,😂,Latin likhni ati h merko wahh 😱😱
138,Hey txt me,Kr lo. Yr
139,I don't love you,I lean streamer from youtube but what ur ans pls reply
140,Who??,She is negative
141,No😂,"Quite good , kesh kanti ?"
142,Haayee bechara🤣🤣🤣,Koi mere se bhi baat krlo yrrr
143,No I'm comfortable with sir,Areee sir na bolo
144,😂🙏,Jo bhi bahut beautiful 😀😀😀😀😅😅😅😅😅😅
145,Yes bro,Bol bhai
146,Tu haaa karr,Khushboo tera badan 😂
147,Dahlah ngakak ploz,KELEN NGETIK APE PLSSS
148,What,Small and round.
149,I'm from India,Bolo toh sahi
150,Hm yha thk se bat nhi ho rha isliye bulaya to tum ese reply krti ho🙄,Are yaar
151,😂😂areeeyyy!!! Jarur tabhi tho dhan aaega mere pas,Please meri friend bano
152,Opps🙊,U r beautiful 😝
153,Who cares,Hii celebrity
154,🙄🙄,Ho ho
155,No,Yahi ghar hai kya tumhara
156,No one,Btw who are you
157,manivijay10943@gmail.com:manivijay,Yes  I want
158,Achaa pagl nam kya h tera,M bhi pagal hu
159,Kya bola,Are tu mere ko kya bol rhi hai
160,Iran,Odisha... Wbu??
161,ha,wohi dekh raha hu
162,Ok good you from india?,I am good too bro
163,Ky,Honthhhose pilaogi 😌😌😀
164,Han Han ik,Priyanka Sharma model
165,Nahi to 😂,😂😂Naruto m magic hota h?
166,hi,Hay I'm back😊
167,hehe,Haan yr
168,aise kaise ho gaya ...  more more ke chakkar me kai more ho gaye ..... 🧐😂😂😂 hum achhe hai ..,Ha bro badhiya tum batao??
169,Modified tik tok,Ni reels krti hu🤣🤣🤣🤣🤣🤣
170,😹😹 mint chutney,Mint I have mint
171,😂😂😂,Vo kya hota h bhaiya😂
172,Spain,Bhru where you frm
173,Achaa aaj dhyan diya na 👀,Bahut din se h😏😏😏
174,mazaak nahi swimmer mein bhi hoon,Hanji 😂
175,😶😶😶👍,have any mercy on me poor
176,deploy userbot,How. Can u tell me
177,ha hi,Tumhari didi bhi yaha hai
178,School,collage ya job
179,Yes,U from Pakistan
180,Again no,Again try me
181,Hmm,lol kabi mumbai mai hi milo
182,How are you👀👀,Hey cuttay👀
183,Abhi,Ha sleep toh nahi hoga lagta h
184,S2U,Byy tc😊😊😊
185,Bhai bhejna,Mems bhej hasi vaale agr tere pass nhi hai to mere pass hai instagram par aur usi se baat aage badha
186,M fine,hi how are u ?
187,😏,on the way😏
188,Ni,Are you busy sis
189,wo shole wala ramgarh...lol,Ramgarh se
190,Ok btao,baiti hoo
191,Yes,Fir to increase hui h Noice!!
192,Bot,Who is deleting my messages
193,You missed mine as well huehuehue,I answered them!😭🥺
194,What!?,I smoked a blunt
195,🙂😃😆😂,😂😂😂🤣🤣 like idk ...these are my spirit animals 👀🤣🌸
196,😂🤣🤣🤣,ilets kar rhi ho kya ya GRE
197,Wahi jaane bhai🤣🤣🤣,Kya dal raha hoge
198,Oo acha 👍👍,Kuch nahi puch liya aise hi
199,np jink?,jaringan w 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
200,Are you boy?,Haan 😍
201,.....,Up 12 muzzafarnagar
202,Yep......but analytical topics,Due to debate?
203,Dhruv...are you Indian ?,Aman nd urs
204,Game khel rahi thi abhi chattingU??,🙂Kkrh ?
205,Mere ghar mai pocha laga do,Service want anyone
206,Fr,Nhi me in chijo me nhi pdtaaa
207,kkk then khush rheo,Sach Mai kuch nahi hai
208,Tag kiya mene 🤔,Ha ps hai 😂😂
209,Ja mar jaldi❤️,Marne do phir😤😂
210,I'll manage😜😊Harkar jitne walo ko bazigar kehte hai😂,Tm khd ud rhe faltu me😂😂...haa giroge to Jan kya sash bhi chli jayegi😂😂
211,Ok mere pas bhi nahi hai😂,No 🥺🥺🥺🥺🥺
212,Kese,Tm kch bol rhi thi sb log kaise hote h?
213,Kab karti h aap,No Abhi ni
214,Wow🤣,Han vo 1 rupaye vali aadat se pahchan liya 🤣
215,No 😒,U r doctor
216,I wanted to know who you're.,Wht 😑
217,Sorry I'm feeling sleepy 😴😴😴😴😴,We can talk
218,Hmm 👀,Some are still snoring..wake up them
219,Hope so you will be get soon,Nothing much trying to make some friends
220,Yes,Ina Aunty.....❤️
221,90's or latest 😂,Of course duh!
222,?,Ui p
223,SSR,Oky.... GM
224,Uski bansuri tumse nahi baji😂,Pta nhi yrr sbka dimaag kharab kar ke chala gya radhe radhe
225,Ok,I needs a gf
226,Kab kiya....inna jhooth 🥺🥺😔,Kar chuki 🥺
227,Ok,so she banned ... if happen again gban and tell him dont talk her
228,😶😶😶👍,any knehi
229,Kaha se ho,Haa abhi thik h
230,U know indian boys like to have gf 😊,😐please explain me... 😅😅
231,Harsha??,I'm boy lol😢
232,Yaar some text because today breakup I feel alone,There 😬😬
233,Hn ja rha🥲,Yaha kahe time waste kar rahe ho.. Pahale college to fix karlo😎
234,Abhi nhi,Me tuje to ni bhulne dunga chinta mt kar Btw dinner kar lea ??
235,Mai reply ni krti 😂,Ha pta h mai Galt bat ni kruga promise
236,🤎,Never think like that... 🌸
237,yes. thank-you..,So don't waste your time in irrelevant conversation Only talkt to those persons who understand you I mean geniune person
238,Wbu,Hlw bro
239,Good you where from,Hi turkey.. how are u
240,English,Papa ko bolo dusri saadi ke liye
241,Shift hone ka soch raha hu...? To socha local. Log se puchlu,Kyu aana hai kya 👀😜
242,That's OK.,ohh 😭
243,🥺,Nope🥺🥺 class ka hi n bnta mere se hcv toh dhur ki baat hai🥺🥺😒
244,Not possible...,"Bahut khatarnak log hai re baba, upar se usne meko spam report bhi kia....bina koinmatlab ka🥺🥺"
245,Ohh then u r fit with me ☺️..Looking mature,Papa ki pari nhi banti m
246,Cp kahe koi to ignore krdiya kro,Thik hai na
247,u were muted last time talk in english or u will get muted again,We woz ayranz n shieeeeet
248,I'm alright.,Dam good wby?
249,Jhunjhunu se,Aap Kaha se ho Bhai Saab?
250,Ji boliye,Sana  sogae
251,Nahi yr last time we talked on May 30th..tabse baat nhi hue ...tumhare hue kya?,"Good evening,did you hear from  Ashu lately!?"
252,Game😂,Ye kyah
253,Suicide kar le but Suicide note me Mera nam likh plez🥺🥺,Wo to pata nahi
254,"Ooohhoo ,seems Interesting",She will reveal her secret identity or 2nd character infront of husband 😂😂
255,Haan,Ye to bura hua
256,Not now😂,😂😂u also goo 😴
257,Oooo,Itne pyaare to nhi ho aap
258,aare sahi kaha thumnehai kuch edhar,Areh kuch log pagal h idhar unse na hi baat karo to thik
259,Acha acha🤔,Are ye muzse choti hai
260,No I am admin😊😊,Good Are you the owner???
261,Night,🌺 good evening...
262,Your name,Yas sar
263,I love myself,Bot rejected you
264,Kepo you,"Ntng ,ur age?"
265,Are aao narak me bhi khelne kudne ki jagha hai,"Na Na !! Avi toh khelne koodne ki umra hui h hamari ,itti jldi vla kaun Aaye"
266,Ahh he is a cheat,Oh😐😂thanks for translate 😂😂❤️
267,Have a great lessons❤️❤️❤️,Han abhi dekh hi raha hu whi episode 😅
268,Okay,Tap Tap app
269,Kuch noi...aap continue kro jo kr rhe teh🥲😂,Kyo kya hua🙄
270,Yes,Quiz hota hyeee
271,Hui,Admin sir here ✋
272,Isme hasi kyo aa rhi hai,Sach me😅😅
273,Yes,you real?
274,🤣🤣,Vc main
275,Your age,No not yet
276,Areeeeeee,I don't have power 🥺🥺🥺🥺
277,I'm fine how are you,Ok hru?
278,This is not a perfect reason,Don't steal my
279,Acchi hu 🥺,Keche ho? 😁
280,Hv patience it l be a blast,Bt glt baat promise kr k na nibhana
281,Nahi hua,Unban hue kya
282,Ah ok hav it soon,Not yet👀
283,SUPERSTAR hain ye ....dewane hain sab yaha unke,Kon hai ye?
284,busy teh,Bta jldi
285,I don't have money to go to one of province 😐,hehe fateme   u come  to india to meet  with me
286,Once more,Naa g 😔
287,Hi,Any one msg me
288,Haa😂,Thik hai jao 😭😭😭
289,I'm from indonesia,ok where r u from ?
290,Do you want to eat berak?😭,What happen 😳😳
291,Ohh,"This grp has this serious problem of priviet texting, y can't u say it here weirdos 🤦‍♀️🤦‍♀️"
292,😂😂 ya but ac is in no use anymore,"Not AC , main wastage is of electricity 🤣"
293,Up and u,Fine thank u jiKha saa ho aap
294,Utna to Pta hi h,"Kannada is Karnataka, tamil, tamilnadu"
295,Mtlb...,kya hua can ping me if u dont have problem toh
296,Let's not chat in otherside hope u understand what I mean,Let's not chat here I hope u understand what I mean to say
297,Haye ram jyada ho gya 😂😂😂😂🤣🤣🤣🤣🤣,kaisa aulaad paida kari mainepapa ko hi nhi samjhti🥺
298,Areee🤣🤣🤣Kid hi thik tha fr to,kkk aunty bolo😏
299,Who ignored,Ignored thanks.
300,Recipes and vlogs,Which type of videos do u make
301,Kb aa rahi ho fir,Haaa haa kyo ni
302,"Good, and you?",hi how are u doing ?
303,Hii,Mad caws every where
304,Ok yr idr bhot logo ko smjana h😁😁wse ..Ase bhot milenge leave yr,Bhai ko ghalatfehmi ho gai hai isilie thoda sa samjha rahe hai bs 😂
305,Chetori khubi joojoo khanoom?🐣Whant are you doing?,Hello good morning 🦋
306,nooo me,NoHis Mom For Me
307,"Okay! Then I guess, we can be friends right? 😇",and I am not looking for a girlfriend lol
308,🥺🥺🥺jeene na degi 🥲🥲❤️,Dharti pe ye duniya🥺❤️
309,Pyar ka nasha😍,Bhai... KYa phook ke aaye ho
310,Talash karo jaldi 😂😂😂😂jija jee bolne wali👍😂😂😂,Arey bolo bhaiya
311,बेइ है रौछी द्यो.. आज शांत छू पै आई तलेतुम सुनाओ,Mausam kas hero ajaal vati
312,😐😐🤦🏼‍♀,D...m me please
313,Hi innocent gurl🥺,I'm an innocent gurl🥺
314,"Yes,why?😂",Are you really laughing
315,Abhi abhi,veh kab hua ?
316,Incremented Karma of 𝘼𝙧𝙪𝙣 𝙧𝙖𝙟..... By 1 Total Points: 2,Good thn
317,Means,Me naraj hu apse
318,Just asking,Nai kyu?
319,I like a good discussion.,Anyone interested in game's?
320,Hello mam,hi buddy
321,Nhi 1947 ki hu😒,25 to ho
322,😂,Congratulations I am happy to announce special seat in heaven is confirmed for you🤣
323,Han mera bhi hogya...so what you doing now,Yes and you?
324,"Give nothing away. Give up nothing happened, everything was fine. But please don't do the same to the next ones.",But what my mistake
325,Ohk😅,"1. Let's not bring her here, since she has no clue I am here. 🙈2. Yeah, I do. 1 son."
326,kya ho,M ek hi hu
327,Or btau tumhari age kya h,kuchh nhi ..
328,Okay very good,😅bcoz i have lots of friends from iran 😅
329,Nhi sir,Bht acchi thi teri poems khud likhti h
330,O bohut badiya ji,Haa 5 bje hi ho gya tha
331,Ghar se,Kha se ho🙊🙊
332,Wese aap sis ho na🤔,Haan sahi khre
333,Kuch Jada photo nhi hai😅,Yes wo Model hai!!
334,Nhi yaar...koi true feelings lekr aaye...accept kr lu usko...pr ye roadside Romeos sbhi ldkiyo k pichhe bhgane wale...unke liye meri sandal...,Lo ab ghamandi bhi ho gayi
335,Ni,App kiski frnd ho bad ye bata do bas🥺😞
336,Well,R u okay👀
337,sed bhai...hm toh 10 ka re_exam dene ka soch rhe,🤣🤣Chlo hamari to school life khtm ho gi
338,Big name you have,SAB kid hai yhaa par....🤣🤣Aap hi sabse bade lo...🤣🤣Lol😂😂😂😂😂
339,Good Morning! Mr. Nobody,Good morning Harshita
340,1 bar warning mil chuki hai,mummy aajaegi sojao phone lelegi
341,Ooo,21 sec
342,Me do,Any one like
343,Cse mine urs csit Or cse?,Aap ki
344,🤦‍♀🤦‍♀🤦‍♀🤦‍♀🤦‍♀,Achha or feelings kese ayegi😐
345,Oh my god😱😱😱,OMYGADD I NEED MBAK BUTCHY.G
346,Ha hai q tum Ophthalmologist ho kya??,Ankho me problem ?
347,How 🤔,I'll pay you 1cr one day dekhna
348,Who r u nd wt u want,Gorantala mesg kro
349,Hi,Hlooo guyss
350,Are u student?,Your sweet name?
351,Hru,Okay good 👍👍👍👍👍
352,Hi,Yeah mahn 😂
353,Why should I tell you,aur kya krana h aapko boloa
354,OK to kya kre gurudev...ispe bhi pravchan de do🥲,Haan 1dam sach
355,Hello,Aur mai
356,NiceAre you studying?,Hi brother I'm Iraninan
357,Fr to Dipper use krte ho,New born
358,Sam here 😂,I am an engineer
359,Accha sahi hai,Padosi h ye to @Susu_sks
360,Okh great,of course
361,🥺🥺😂,Awww my golu molu sis😂
362,😕k koi bat nhi,Koi response nhi aaya sry😕
363,Nhi👀 vo sticker jo maine taf kiya thaMtlb mjak tha🥲,Dpppp mein puch rha stalker🤣🤣🤣
364,GoodBtw are you alright?,hm how r u?
365,Tu bhi jhund ka hissa h😪,Tu bndriyan h😂
366,Ok,M college m hu bhi
367,Talk about what?😐,Talk to me ...I will tell u
368,You are making fun too,she will marry u bro
369,Utter pradesh,HAA WHERE ARE YOU FROM
370,okay,never  forget you
371,Arree coin batana kese gain hote h,Tm mera msg ignore ki🙄
372,Btai thi na..,Accha... Pr meko batana chahiye tha teko... Ki account dlt kr rhi ho 🥺 laga to tha pr phir bhi..
373,Gya yr 😏,gye nhi abtk
374,im not ur baby LMFAO,hai beby
375,I am good n you?,Hi👩‍💻🙊 how are you?
376,Which language you want?,Got it bro
377,YeaI kidding,Whatever !!it is showing or representing some thought and behaviour isn't it so😅
378,Wahii bahar jana nhi padhtaaa🤭😝😝😝🤣,"No he got his business, His money is making money for him!!"
379,Hmm,Rajasthan se ho?
380,Vo tumhe gali q dera😑,DMMMM MEE
381,Ok,Koi bat nhi
382,No I am not crying,I am gud.. Why are you crying 🤨🤨
383,No,Hii may you add my contact?
384,Kon teri patni?,Wo kaha h
385,Ercel,Btw...her?? Kon her?? Haaan😐😐
386,bot h sayad,Mujhe hi nahi karti😂😂
387,Oh bro,Patta lagao🙄🙄😒🤣
388,Go to samajh gao age,My plasure
389,Kis se,Inse bachh kr rehna 😂😂😂😂😂
390,Kaha se,Apna paroshi hai
391,Jyada na... Gori ma'am,Shant oye👀🤣🤣🤣🤣
392,Hey,Hi princess of heaven
393,😒,Hloooo nehaaaaàaa gggg
394,Ohh so sad,Zyada mt socho...mai already committed hu😒
395,Is that indonesian actress?I mean your profile,Shut up Kora I wanna kill you☺️
396,Madher jaatr,Badhe batamse loug hai
397,Repeating my words 😬,"Money can never give you happiness, it can give you physical comfort"
398,As like yesterday 🥲,Hehe 😹 ok how r u today
399,Ok merei neighbour nikli app yaar ajj sse we frnd s ok😂🤣🤣🤣🤣,Dharti s
400,Gal?,Kya gal hain
401,Tune baat aisi kar di,Ye galt h
402,De rahi ho,Tum reply nhi
403,I’m fine thanks,Tnx  and you ?
404,👍🏽👍🏽,Do you remember me🤔🤔
405,Anjir,Gntng aku mana??
406,Ji to kahiye kya baat h,Normal bhi jaisi bhi krni ho mtlb baat kre kuch bhi bss
407,Ohh....y u deleted suddenly bro,Yeahh lmao... It was assistant acc... But now I'm using this
408,Halo sir,im giving it to the bank ... thats you stop arguing and keep it
409,Koi na mai bhi 1.5 sal se nahi khela 😂,Accha m to noob hu fr ism 😪
410,My real age is 25 years old :),In 15 age itself😂
411,I use alias Dot_x,Hey! What's your name? ¿
412,Aage ka reply smhh gya na 😂😂,Bs patidev ko chorke🤣🤣🤣🤭🤭😝
413,Nowhere,From where you get this coin
414,Woww very nice.,It's kurdish name means guide.adviser.flagman ..
415,Uncle aap sahi ho?,Hey bhai 😁🤘
416,"Tou kya huya,  phir disha aa jayegi kami h Kya uspe",Btana nhi tha vro ab vo b chhod k chli jygi 😂😂
417,Ok good mine bhai kar liya 😊😊,"Already, even 3 times 😁Hby"
418,Yeah jyd ho gy,Bhkk... 🥲
419,Name of course,Wat u need?
420,Close friend 🧐,sab friends hi
421,Badhiya or aap,I mean haal chaal kasa h apka😄
422,10 M hone de...fir le lena,Muze thoda to dede
423,He yr india haar gya paaji,"That was not good moments for me and every India, because I already World Cup lost semi final since 2019 ,that time was revenge time, you know"
424,Yes,Tu bot hai?
425,nahi wo niraj ne shuru kiya to ... to deepika yaad aayi fir baat aage badh gaya ...😂😂 aur conversation start kar diye hum.😂😂😂😂😂,Sindoor m badi dilchaspi h apko😂😂😂😂..ho gyi kya shadi
426,sed life,Aree yrrr🤣🤣🤣Ha kh skte ho🥺🥺🥺🥺
427,Okey PROTECTOR,YEAS ADMIN  MAM
428,Haan😂😂,Cute hai😂😂
429,Hy mam,Actually apne usko ban kyu kiya
430,Hlo,Tm kro
431,Okaay sounds great. Are you a student?,I lay down and chat with my friends
432,Ok,Sure its my pleasure to be friend with  u
433,Okie,Nope 😢
434,Anyways what do you do?,you too
435,Iran,Which city?😐
436,Kyo kya huwa 😊😂🙈😢,Ye kya bhej rhe h
437,No😂😂,😳😳😳 halet khobi
438,@Bhumika_2704,Slap pdega kisi ko
439,mhhhh,Dena miane kitne diye the tuje 🥺
440,Send me seprate msz if anyone interested,I try to find one person who talk to me in english so i can improve myself. If u r interested please reply to me. I promise i never say anything wrong to u. If i try then u can block me anytime. If u want please reply💐
441,Yes vro,Love is just a joke for people
442,Pansi,A friend is a gift you give yourself.
443,No,A still studying?
444,😒,Jor s mrr😂😂
445,Suicide,Kha ja rahi h sakshi
446,Bahut,Achha mahi dance Bhi karate hai
447,Why,Can you msg me in private🤔🤔
448,Ohh good,Me kerala
449,Chalraha h basYou say?,How are you👀
450,Sirf 100,Ky.aaaa huaaa
451,Means?,Up 😅
452,na,Are you free  now😅😅
453,Just sitting and chatting or kya hi ker skte h,"Hey,how you doin"
454,😂😂noob me se hi to pro bana jata hai na,Mera Accha hai lekin vo log regular khelte hai na to mujhe chidate h 😂😂😔 nobdi 😝
455,Yes,Urghh nooo
456,Tax,Good name buddy
457,Accha,Par street fighter kheli out Tekken 3
458,Kyaaa,Tulare piche
459,Good Morning! Belvanya lawrence,Hii friends good morning
460,Phy,Like real one..konse subject mai ..😅😅mai toh neet de raha hu
461,Ptani 🤔,Mai kyu nahi bhej pa rha sticker and gif
462,Okk,15 bar bhej
463,sab 1000 dollar etherium ka,Kitna loss hua
464,Report kru tjhe nkal Aram se,Free Online Funमुझे ऑनलाइन सेक्स के लिए मैसेज करोफ्री फ्री फ्री
465,Kispe.?Kiska,Wah kya adaa hai.. Ispe dil aagya 🙈🙈
466,Go and sleep 👍👍,I feel i am sleepy
467,thanks,Dupatta pos is cute ☺️😍
468,"Kisi ko nhiBore lag rha tha , so.......😂😂",hehe or sunao is id se kisko set karne aae ho
469,👍 tum bato apne hal chal,kuch ni vrokaise ho
470,Aap admin ho mujhe mod bnado,Main bahi nahi hu mod yaha par
471,Han han..bol do ye tmhara real pics hai...don't use fake pica,Jaisa aapka mind ...aap kuch bhi soch skte ho
472,jao whi mro😂,Aur mujhe yahi jgah mili hai kyaa...To choose someone??Bahut saari jgah hain...so many apps are there.....Wahan pr v to jaa sakti huu naaa...🤦‍♀🤦‍♀🤦‍♀
473,Boring hai,aree bich me chhod di antakshari
474,Jalsa che toh bhai na 😂,Moj ma roj ma
475,😂i hope i m not the one in this list😂,"Pata nahi😂😂, I found haters out of nowhere I'll be honest, people played the victim,been rude without a reason and etc"
476,Why can't you have here,Obviously I asked we can have conversations. You don’t ping me
477,9th cls,Which standard??
478,Yeah uh to take care,How sweet 😂😂❤️I'll teach yuhh dude dunno worry Okay see ya soon !! Bye TC 🙌
479,Waaha. Bhalayi ka jaman he nhi raha is duniya me,Nhi btana
480,😅😅awww mr.. Stranger i guess i should keep. My name this,Yup..ur name mr. stranger?
481,No,Tum bihar se ho kya 🤔
482,Ok nice to meet u sis😊💛,Hmmm I'm not
483,👍👍,Mera khud ka grp hai jisma 1k members hai
484,hehehh.😂😂,Let me entertain uh😂
485,Mai to abhi chala yaha se,3 months se hu edhar  😅😂
486,😂😂and their political system :),😂country is. Cool. But the virus 😢
487,Bro😳😳😳,hi my bro
488,No,Can you mess age
489,im sure....u can check it by coming in my heart,LoL What the hellAre you sure?
490,Hm,U like partying?
491,Haan 👀,Tumhe bada rona aa raha hai...
492,Начни какую нибудь тему,Обо всем
493,"My bad 😂 , but answer me",Why there is no question mark😐😂
494,I'm fine thanks,"Yep , how you doing?"
495,Ada yenga namma ooru ponnunga pesurathae perusu,Neega pesuna naum pesa pora
496,Majak kiya tha,btao to sahi mil lete hai
497,Why,Write me pers nal
